2022-06-22 00:14:00|[INFO]|6907gmhpuuv2f88lna6lgc7kh6|DMG|::1||||1|http://localhost/smartwork/dmg/slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36|/smartwork/dmg/diagrams.html|localhost|631c5af2b385c1b583082eca37527742|
2022-06-22 00:15:03|[INFO]|6907gmhpuuv2f88lna6lgc7kh6|DMG|::1|visualisation_diagrams|||2|http://localhost/smartwork/dmg/diagrams.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_diagrams.html|localhost|631c5af2b385c1b583082eca37527742|
2022-06-22 00:23:41|[INFO]|6907gmhpuuv2f88lna6lgc7kh6|SEPARATION|::1|home||Divorce ou séparation : diagnostic personnalisé 100% en ligne|2|http://localhost/smartwork/|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36|/smartwork/separation/|localhost|631c5af2b385c1b583082eca37527742|
2022-06-22 00:23:44|[INFO]|6907gmhpuuv2f88lna6lgc7kh6|SEPARATION|::1|diagnostic||Diagnostic en ligne|2|http://localhost/smartwork/separation/|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36|/smartwork/separation/diagnostic.html|localhost|631c5af2b385c1b583082eca37527742|
2022-06-22 00:23:46|[INFO]|6907gmhpuuv2f88lna6lgc7kh6|SEPARATION|::1|outil||outil|2|http://localhost/smartwork/separation/diagnostic.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36|/smartwork/separation/outil.html|localhost|631c5af2b385c1b583082eca37527742|
2022-06-22 00:23:47|[INFO]|6907gmhpuuv2f88lna6lgc7kh6|SEPARATION|::1|outil_situation||Diagnostic-Situation|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36|/smartwork/separation/outil_situation.html|localhost|631c5af2b385c1b583082eca37527742|
2022-06-22 00:58:48|[INFO]|6907gmhpuuv2f88lna6lgc7kh6|SEPARATION|::1|diagnostic||Diagnostic en ligne|2|http://localhost/smartwork/separation/|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36|/smartwork/separation/diagnostic.html|localhost|631c5af2b385c1b583082eca37527742|
2022-06-22 01:17:16|[INFO]|6907gmhpuuv2f88lna6lgc7kh6|DMG|::1|visualisation_diagrams|||2|http://localhost/smartwork/dmg/slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_diagrams.html|localhost|631c5af2b385c1b583082eca37527742|
2022-06-22 01:17:58|[INFO]|6907gmhpuuv2f88lna6lgc7kh6|SEPARATION|::1|home||Divorce ou séparation : diagnostic personnalisé 100% en ligne|2|http://localhost/smartwork/|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36|/smartwork/separation/|localhost|631c5af2b385c1b583082eca37527742|
2022-06-22 01:18:00|[INFO]|6907gmhpuuv2f88lna6lgc7kh6|SEPARATION|::1|diagnostic||Diagnostic en ligne|2|http://localhost/smartwork/separation/|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36|/smartwork/separation/diagnostic.html|localhost|631c5af2b385c1b583082eca37527742|
2022-06-22 01:18:02|[INFO]|6907gmhpuuv2f88lna6lgc7kh6|SEPARATION|::1|outil||outil|2|http://localhost/smartwork/separation/diagnostic.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36|/smartwork/separation/outil.html|localhost|631c5af2b385c1b583082eca37527742|
