2022-08-08 18:05:22|[INFO]|muo7mcime93d7ic697ae8h5fu9|FORUM|::1|subject|||2|http://localhost/smartwork/|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/forum/|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-08 18:05:28|[INFO]|muo7mcime93d7ic697ae8h5fu9|FORUM|::1|topic|5|Fonctionnement du forum|2|http://localhost/smartwork/forum/|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/forum/subject/rubriques-du-forum-id-5.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-08 18:05:32|[INFO]|muo7mcime93d7ic697ae8h5fu9|FORUM|::1|subject|||2|http://localhost/smartwork/forum/subject/rubriques-du-forum-id-5.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/forum/|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-08 18:05:37|[INFO]|muo7mcime93d7ic697ae8h5fu9|FORUM|::1|topic|56|Topic 3 - Sujet 2|2|http://localhost/smartwork/forum/|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/forum/topic/topic-3-sujet-2-id-56.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-08 18:05:40|[INFO]|muo7mcime93d7ic697ae8h5fu9|FORUM|::1|topic|17|Sujet 2|2|http://localhost/smartwork/forum/topic/topic-3-sujet-2-id-56.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/forum/subject/sujet-2-id-17.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-08 18:05:55|[INFO]|muo7mcime93d7ic697ae8h5fu9|FORUM|::1|subject|||2|http://localhost/smartwork/forum/subject/sujet-2-id-17.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/forum/|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-08 18:05:59|[INFO]|muo7mcime93d7ic697ae8h5fu9|FORUM|::1|topic|6|Après votre séparation|2|http://localhost/smartwork/forum/|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/forum/subject/apres-votre-separation-id-6.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-08 18:06:02|[INFO]|muo7mcime93d7ic697ae8h5fu9|FORUM|::1|subject|||2|http://localhost/smartwork/forum/subject/apres-votre-separation-id-6.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/forum/|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-08 23:00:20|[INFO]|bu8r8l96o7td8oc4ap6gmnfavi|FORUM|::1|topic|6|Après votre séparation|1|http://localhost/smartwork/forum/|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/forum/subject/apres-votre-separation-id-6.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-08 23:00:21|[INFO]|bu8r8l96o7td8oc4ap6gmnfavi|FORUM|::1|subject|||1|http://localhost/smartwork/forum/subject/sujet-2-id-17.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/forum/|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-08 23:00:23|[INFO]|bu8r8l96o7td8oc4ap6gmnfavi|FORUM|::1|topic|17|Sujet 2|1|http://localhost/smartwork/forum/topic/topic-3-sujet-2-id-56.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/forum/subject/sujet-2-id-17.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
