2022-08-14 00:00:01|[INFO]|udpf0ju3kap7un4p7lhbp5465h|SEPARATION|::1|diagnostic||Diagnostic en ligne|2|http://localhost/smartwork/separation/user.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/diagnostic.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-14 00:00:04|[INFO]|udpf0ju3kap7un4p7lhbp5465h|SEPARATION|::1|outil||outil|2|http://localhost/smartwork/separation/diagnostic.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-14 00:00:06|[INFO]|udpf0ju3kap7un4p7lhbp5465h|SEPARATION|::1|outil_situation||Diagnostic-Situation|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_situation.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-14 00:00:08|[INFO]|udpf0ju3kap7un4p7lhbp5465h|SEPARATION|::1|outil_variable||Diagnostic-Variable|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_variable.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-14 00:00:25|[INFO]|udpf0ju3kap7un4p7lhbp5465h|SEPARATION|::1|outil_result||Diagnostic-Résultat|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_result.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-14 00:00:27|[INFO]|udpf0ju3kap7un4p7lhbp5465h|SEPARATION|::1|outil_procedure||Diagnostic-Procédure|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_procedure.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-14 00:00:35|[INFO]|udpf0ju3kap7un4p7lhbp5465h|SEPARATION|::1|outil_dossier||Diagnostic-Dossier|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_dossier.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-14 00:00:48|[INFO]|udpf0ju3kap7un4p7lhbp5465h|SEPARATION|::1|outil_download||Diagnostic-Download dossier|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_download.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-14 00:10:31|[INFO]|udpf0ju3kap7un4p7lhbp5465h|SEPARATION|::1|outil_variable||Diagnostic-Variable|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_variable.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-14 00:10:34|[INFO]|udpf0ju3kap7un4p7lhbp5465h|SEPARATION|::1|outil_situation||Diagnostic-Situation|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_situation.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-14 00:10:37|[INFO]|udpf0ju3kap7un4p7lhbp5465h|SEPARATION|::1|outil_procedure||Diagnostic-Procédure|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_procedure.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
