2022-08-17 00:00:31|[INFO]|6irj8gerruqu42okbl7ni51vh7|SEPARATION|::1|content|164|Bons plans pour trouver un logement|1|http://localhost/smartwork/separation/bonplans.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/bonplans/bons-plans-pour-trouver-un-logement-id-164.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-17 00:00:34|[INFO]|6irj8gerruqu42okbl7ni51vh7|SEPARATION|::1|diagnostic||Diagnostic en ligne|1|http://localhost/smartwork/separation/bonplans/bons-plans-pour-trouver-un-logement-id-164.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/diagnostic.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-17 00:00:36|[INFO]|6irj8gerruqu42okbl7ni51vh7|SEPARATION|::1|outil||outil|1|http://localhost/smartwork/separation/diagnostic.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-17 00:00:37|[INFO]|6irj8gerruqu42okbl7ni51vh7|SEPARATION|::1|loginbox||La séparation et le divorce expliqués en détail|1|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/loginbox.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-17 00:00:50|[INFO]|6irj8gerruqu42okbl7ni51vh7|SEPARATION|::1|outil_situation||Diagnostic-Situation|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_situation.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-17 00:01:00|[INFO]|6irj8gerruqu42okbl7ni51vh7|SEPARATION|::1|outil_variable||Diagnostic-Variable|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_variable.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-17 00:01:03|[INFO]|6irj8gerruqu42okbl7ni51vh7|SEPARATION|::1|outil_variable||Diagnostic-Variable|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_variable.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-17 00:01:09|[INFO]|6irj8gerruqu42okbl7ni51vh7|SEPARATION|::1|outil_result||Diagnostic-Résultat|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_result.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-17 00:01:12|[INFO]|6irj8gerruqu42okbl7ni51vh7|SEPARATION|::1|outil_procedure||Diagnostic-Procédure|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_procedure.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-17 00:01:17|[INFO]|6irj8gerruqu42okbl7ni51vh7|SEPARATION|::1|outil_result||Diagnostic-Résultat|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_result.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-17 00:01:20|[INFO]|6irj8gerruqu42okbl7ni51vh7|SEPARATION|::1|outil_variable||Diagnostic-Variable|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_variable.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
