2022-08-22 02:00:58|[INFO]|6sm64umgupt8sr35cimklr60kf|OUTILV0|::1|||Diagnostic|1|http://localhost/smartwork/|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/outilv0/|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-22 02:56:51|[INFO]|6sm64umgupt8sr35cimklr60kf|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-22 02:56:52|[INFO]|6sm64umgupt8sr35cimklr60kf|DMG|::1|slides_visu|1||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=1|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-22 02:56:53|[INFO]|6sm64umgupt8sr35cimklr60kf|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-22 02:57:19|[INFO]|6sm64umgupt8sr35cimklr60kf|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-22 02:57:20|[INFO]|6sm64umgupt8sr35cimklr60kf|DMG|::1|slides_visu|1||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=1|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-22 02:57:21|[INFO]|6sm64umgupt8sr35cimklr60kf|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-22 02:58:34|[INFO]|6sm64umgupt8sr35cimklr60kf|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-22 02:58:35|[INFO]|6sm64umgupt8sr35cimklr60kf|DMG|::1|slides_visu|1||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=1|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-22 02:58:35|[INFO]|6sm64umgupt8sr35cimklr60kf|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-22 02:59:56|[INFO]|6sm64umgupt8sr35cimklr60kf|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=1|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
