2022-08-25 00:01:12|[INFO]|37rmjslieckurc78pavgmio1l3|DMG|::1||||1|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-25 00:08:13|[INFO]|37rmjslieckurc78pavgmio1l3|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-25 00:08:13|[INFO]|37rmjslieckurc78pavgmio1l3|DMG|::1|slides_visu|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-25 00:14:55|[INFO]|37rmjslieckurc78pavgmio1l3|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-25 00:14:55|[INFO]|37rmjslieckurc78pavgmio1l3|DMG|::1|slides_visu|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-25 02:01:19|[INFO]|07ic6j55js7ees11gl9pma7g9d|DMG|::1||||1|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-25 02:09:40|[INFO]|07ic6j55js7ees11gl9pma7g9d|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-25 02:09:41|[INFO]|07ic6j55js7ees11gl9pma7g9d|DMG|::1|slides_visu|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-25 02:10:18|[INFO]|07ic6j55js7ees11gl9pma7g9d|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-25 02:10:18|[INFO]|07ic6j55js7ees11gl9pma7g9d|DMG|::1|slides_visu|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-25 02:10:31|[INFO]|07ic6j55js7ees11gl9pma7g9d|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-25 02:10:32|[INFO]|07ic6j55js7ees11gl9pma7g9d|DMG|::1|slides_visu|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-25 02:12:31|[INFO]|07ic6j55js7ees11gl9pma7g9d|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-25 02:12:32|[INFO]|07ic6j55js7ees11gl9pma7g9d|DMG|::1|slides_visu|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-25 02:15:44|[INFO]|07ic6j55js7ees11gl9pma7g9d|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-25 02:15:45|[INFO]|07ic6j55js7ees11gl9pma7g9d|DMG|::1|slides_visu|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-25 02:17:27|[INFO]|07ic6j55js7ees11gl9pma7g9d|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-25 02:17:28|[INFO]|07ic6j55js7ees11gl9pma7g9d|DMG|::1|slides_visu|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-25 02:19:57|[INFO]|07ic6j55js7ees11gl9pma7g9d|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-25 02:19:58|[INFO]|07ic6j55js7ees11gl9pma7g9d|DMG|::1|slides_visu|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-25 02:21:56|[INFO]|07ic6j55js7ees11gl9pma7g9d|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-25 02:21:56|[INFO]|07ic6j55js7ees11gl9pma7g9d|DMG|::1|slides_visu|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-08-25 02:31:53|[INFO]|07ic6j55js7ees11gl9pma7g9d|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
