2022-09-04 00:03:08|[INFO]|1699bi5mos2ggubu6fh8st74cj|DMG|::1||||1|http://localhost/smartwork/dmg/|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-04 00:03:25|[INFO]|1699bi5mos2ggubu6fh8st74cj|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-04 00:03:26|[INFO]|1699bi5mos2ggubu6fh8st74cj|DMG|::1|slides_visu_simple|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_simple.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-04 00:03:57|[INFO]|1699bi5mos2ggubu6fh8st74cj|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-04 00:03:58|[INFO]|1699bi5mos2ggubu6fh8st74cj|DMG|::1|slides_visu_simple|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_simple.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-04 00:04:33|[INFO]|1699bi5mos2ggubu6fh8st74cj|DMG|::1|slides_visu_sheets|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_sheets.html?id=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-04 22:45:51|[INFO]|0r2bgsj5nm20n42gs5f9id1tvc|DMG|::1||||1|http://localhost/smartwork/dmg/|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/dmg/domain.html?domainid=9|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-04 22:45:57|[INFO]|0r2bgsj5nm20n42gs5f9id1tvc|SEPARATION|::1|home||Divorce ou séparation : diagnostic personnalisé 100% en ligne|1|http://localhost/smartwork/|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-04 22:46:01|[INFO]|0r2bgsj5nm20n42gs5f9id1tvc|SEPARATION|::1|diagnostic||Diagnostic en ligne|1|http://localhost/smartwork/separation/|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/diagnostic.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-04 22:46:04|[INFO]|0r2bgsj5nm20n42gs5f9id1tvc|SEPARATION|::1|outil||outil|1|http://localhost/smartwork/separation/diagnostic.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-04 22:46:05|[INFO]|0r2bgsj5nm20n42gs5f9id1tvc|SEPARATION|::1|loginbox||La séparation et le divorce expliqués en détail|1|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/loginbox.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-04 22:46:17|[INFO]|0r2bgsj5nm20n42gs5f9id1tvc|SEPARATION|::1|outil_situation||Diagnostic-Situation|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_situation.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-04 22:46:40|[INFO]|0r2bgsj5nm20n42gs5f9id1tvc|SEPARATION|::1|outil_variable||Diagnostic-Variable|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_variable.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-04 22:46:48|[INFO]|0r2bgsj5nm20n42gs5f9id1tvc|SEPARATION|::1|outil||outil|2|http://localhost/smartwork/separation/diagnostic.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
2022-09-04 22:46:49|[INFO]|0r2bgsj5nm20n42gs5f9id1tvc|SEPARATION|::1|outil_situation||Diagnostic-Situation|2|http://localhost/smartwork/separation/outil.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36|/smartwork/separation/outil_situation.html|localhost|85f63f9ad7ea5aface80e7b9af66b82a|
