2022-09-12 13:44:40|[INFO]|15sthtrgtj2iujbcr4s7grc68b|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-12 13:44:40|[INFO]|15sthtrgtj2iujbcr4s7grc68b|DMG|::1|slides_visu_sheets|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_sheets.html?id=9|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-12 13:46:26|[INFO]|15sthtrgtj2iujbcr4s7grc68b|DMG|::1|slides_visu_simple|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_simple.html?id=9|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-12 13:46:54|[INFO]|15sthtrgtj2iujbcr4s7grc68b|DMG|::1|slides_visu_sheets|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_sheets.html?id=9|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-12 13:48:15|[INFO]|15sthtrgtj2iujbcr4s7grc68b|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-12 13:48:15|[INFO]|15sthtrgtj2iujbcr4s7grc68b|DMG|::1|slides_visu_sheets|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_sheets.html?id=9|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-12 13:48:20|[INFO]|15sthtrgtj2iujbcr4s7grc68b|DMG|::1|slides_visu_simple|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_simple.html?id=9|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-12 13:48:23|[INFO]|15sthtrgtj2iujbcr4s7grc68b|DMG|::1|slides_visu_sheets|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_sheets.html?id=9|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-12 13:48:27|[INFO]|15sthtrgtj2iujbcr4s7grc68b|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-12 13:48:28|[INFO]|15sthtrgtj2iujbcr4s7grc68b|DMG|::1|slides_visu_sheets|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_sheets.html?id=9|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-12 13:51:50|[INFO]|15sthtrgtj2iujbcr4s7grc68b|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-12 13:51:50|[INFO]|15sthtrgtj2iujbcr4s7grc68b|DMG|::1|slides_visu_sheets|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_sheets.html?id=9|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-12 13:58:13|[INFO]|15sthtrgtj2iujbcr4s7grc68b|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-12 13:58:14|[INFO]|15sthtrgtj2iujbcr4s7grc68b|DMG|::1|slides_visu_sheets|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_sheets.html?id=9|localhost|778a85d85727fd85cfc8223c0635cb23|
