2022-09-15 08:42:54|[INFO]|7nalavpt1c0fvs2dvh5q0kh2ea|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-15 08:42:55|[INFO]|7nalavpt1c0fvs2dvh5q0kh2ea|DMG|::1|slides_visu_simple|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_simple.html?id=9|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-15 08:43:07|[INFO]|7nalavpt1c0fvs2dvh5q0kh2ea|DMG|::1|slides_visu_sheets|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_sheets.html?id=9|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-15 08:43:47|[INFO]|7nalavpt1c0fvs2dvh5q0kh2ea|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-15 08:43:49|[INFO]|7nalavpt1c0fvs2dvh5q0kh2ea|DMG|::1|slides_visu_simple|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_simple.html?id=9|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-15 08:44:15|[INFO]|7nalavpt1c0fvs2dvh5q0kh2ea|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-15 08:44:16|[INFO]|7nalavpt1c0fvs2dvh5q0kh2ea|DMG|::1|slides_visu_simple|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_simple.html?id=9|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-15 08:44:21|[INFO]|7nalavpt1c0fvs2dvh5q0kh2ea|DMG|::1|slides_visu_sheets|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_sheets.html?id=9|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-15 08:46:36|[INFO]|7nalavpt1c0fvs2dvh5q0kh2ea|DMG|::1|visualisation_slides|||2|http://localhost/smartwork/dmg/domain.html?domainid=9|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/visualisation_slides.html|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-15 08:46:36|[INFO]|7nalavpt1c0fvs2dvh5q0kh2ea|DMG|::1|slides_visu_simple|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_simple.html?id=9|localhost|778a85d85727fd85cfc8223c0635cb23|
2022-09-15 08:46:42|[INFO]|7nalavpt1c0fvs2dvh5q0kh2ea|DMG|::1|slides_visu_sheets|9||2|http://localhost/smartwork/dmg/visualisation_slides.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36|/smartwork/dmg/slides_visu_sheets.html?id=9|localhost|778a85d85727fd85cfc8223c0635cb23|
