2022-12-09 11:14:47|[INFO]|gmrm38kkt8rulvnqebjbla7tsa|FORUM|::1|subject|||2|http://localhost/smartwork/|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|/smartwork/forum/|localhost|1a7513945e8b91e4f52ef0412130ead4|
2022-12-09 11:15:01|[INFO]|gmrm38kkt8rulvnqebjbla7tsa|FORUM|::1|topic|57|Topic 1 - Sujet 2|2|http://localhost/smartwork/forum/|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|/smartwork/forum/topic/topic-1-sujet-2-id-57.html|localhost|1a7513945e8b91e4f52ef0412130ead4|
2022-12-09 11:15:08|[INFO]|gmrm38kkt8rulvnqebjbla7tsa|FORUM|::1|topic|17|Subject 2|2|http://localhost/smartwork/forum/topic/topic-1-sujet-2-id-57.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|/smartwork/forum/subject/subject-2-id-17.html|localhost|1a7513945e8b91e4f52ef0412130ead4|
2022-12-09 11:15:31|[INFO]|gmrm38kkt8rulvnqebjbla7tsa|FORUM|::1|topic|57|Topic 1 - Sujet 2|2|http://localhost/smartwork/forum/subject/subject-2-id-17.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|/smartwork/forum/topic/topic-1-sujet-2-id-57.html|localhost|1a7513945e8b91e4f52ef0412130ead4|
2022-12-09 11:15:37|[INFO]|gmrm38kkt8rulvnqebjbla7tsa|FORUM|::1|topic|17|Subject 2|2|http://localhost/smartwork/forum/topic/topic-1-sujet-2-id-57.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|/smartwork/forum/subject/subject-2-id-17.html|localhost|1a7513945e8b91e4f52ef0412130ead4|
2022-12-09 11:15:54|[INFO]|gmrm38kkt8rulvnqebjbla7tsa|FORUM|::1|topic|57|Topic 1 - Sujet 2|2|http://localhost/smartwork/forum/subject/subject-2-id-17.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|/smartwork/forum/topic/topic-1-sujet-2-id-57.html|localhost|1a7513945e8b91e4f52ef0412130ead4|
2022-12-09 11:15:55|[INFO]|gmrm38kkt8rulvnqebjbla7tsa|FORUM|::1|topic|17|Subject 2|2|http://localhost/smartwork/forum/topic/topic-1-sujet-2-id-57.html|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|/smartwork/forum/subject/subject-2-id-17.html|localhost|1a7513945e8b91e4f52ef0412130ead4|
2022-12-09 11:15:56|[INFO]|gmrm38kkt8rulvnqebjbla7tsa|FORUM|::1|topic|57|Topic 1 - Sujet 2|2|http://localhost/smartwork/forum/|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|/smartwork/forum/topic/topic-1-sujet-2-id-57.html|localhost|1a7513945e8b91e4f52ef0412130ead4|
2022-12-09 11:15:57|[INFO]|gmrm38kkt8rulvnqebjbla7tsa|FORUM|::1|subject|||2|http://localhost/smartwork/|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|/smartwork/forum/|localhost|1a7513945e8b91e4f52ef0412130ead4|
2022-12-09 11:33:09|[INFO]|gmrm38kkt8rulvnqebjbla7tsa|FORUM|::1|subject|||2|http://localhost/smartwork/|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|/smartwork/forum/|localhost|1a7513945e8b91e4f52ef0412130ead4|
2022-12-09 11:33:17|[INFO]|gmrm38kkt8rulvnqebjbla7tsa|FORUM|::1|topic|2|Subject 1|2|http://localhost/smartwork/forum/|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|/smartwork/forum/subject/subject-1-id-2.html|localhost|1a7513945e8b91e4f52ef0412130ead4|
